# rocket_logger v3.3 rate=100Hz accel=16G(2048/G) gyro=2000dps(16.4/dps) sound=A1
t_ms,ax,ay,az,gx,gy,gz,snd
6630,-1353,-1485,-262,18,17,-20,508
6646,-1357,-1487,-252,10,18,-21,512
6650,-1356,-1490,-245,11,19,-19,511
6660,-1348,-1485,-247,16,15,-16,507
6670,-1354,-1486,-256,15,23,-20,509
6680,-1336,-1496,-252,12,22,-17,508
6690,-1364,-1490,-246,9,23,-16,507
6700,-1364,-1494,-251,15,20,-22,508
6710,-1350,-1484,-265,17,22,-23,510
6720,-1357,-1487,-242,19,18,-21,510
6730,-1367,-1484,-243,10,19,-22,506
6740,-1353,-1497,-259,16,20,-20,507
6750,-1355,-1490,-251,17,18,-14,512
6760,-1360,-1484,-246,14,21,-20,510
6770,-1356,-1488,-253,13,18,-26,510
6780,-1338,-1488,-246,13,24,-22,508
6790,-1344,-1480,-250,14,19,-18,507
6800,-1345,-1477,-235,14,21,-19,508
6810,-1336,-1483,-262,19,30,-21,507
6820,-1356,-1481,-254,13,16,-23,504
6830,-1345,-1483,-242,12,13,-17,510
6840,-1357,-1489,-262,10,27,-20,507
6850,-1358,-1479,-239,12,11,-16,505
6860,-1356,-1477,-223,12,23,-22,507
6870,-1352,-1491,-240,18,22,-15,513
6880,-1356,-1486,-227,15,16,-18,509
6890,-1354,-1468,-259,16,9,-22,513
6900,-1341,-1486,-234,11,18,-14,510
6910,-1356,-1489,-244,16,25,-18,513
6920,-1357,-1487,-236,10,22,-16,511
6930,-1345,-1495,-243,11,13,-19,512
6940,-1353,-1486,-236,11,20,-12,509
6950,-1350,-1487,-265,12,20,-16,510
6960,-1351,-1488,-258,11,21,-18,508
6970,-1364,-1492,-242,18,20,-20,510
6980,-1353,-1486,-256,12,18,-10,507
6990,-1341,-1483,-255,16,22,-18,504
7000,-1356,-1486,-240,13,22,-20,511
7010,-1337,-1497,-247,15,9,-17,507
7020,-1367,-1491,-240,17,28,-19,506
7030,-1342,-1482,-241,11,16,-19,509
7040,-1342,-1487,-241,15,19,-18,515
7050,-1344,-1475,-236,15,15,-14,515
7060,-1359,-1480,-248,15,13,-24,510
7070,-1367,-1496,-227,17,14,-16,513
7080,-1350,-1480,-243,13,16,-14,513
7090,-1347,-1483,-243,12,21,-16,506
7100,-1349,-1487,-245,20,23,-20,508
7110,-1353,-1473,-243,13,15,-19,514
7120,-1364,-1481,-264,11,23,-21,512
7130,-1340,-1473,-241,12,11,-16,508
7140,-1334,-1481,-253,11,26,-21,524
7150,-1355,-1484,-243,12,21,-24,517
7160,-1346,-1491,-280,14,20,-16,508
7170,-1353,-1486,-251,18,13,-25,511
7180,-1357,-1483,-241,14,28,-19,514
7190,-1346,-1480,-247,18,22,-17,516
7200,-1346,-1483,-245,18,22,-18,510
7211,-1346,-1474,-253,11,16,-23,514
7220,-1358,-1483,-267,15,15,-16,496
7230,-1360,-1492,-252,16,32,-16,501
7240,-1346,-1484,-240,13,12,-15,515
7250,-1344,-1487,-252,16,20,-20,505
7260,-1348,-1481,-255,13,15,-21,515
7270,-1350,-1473,-246,11,15,-18,518
7280,-1366,-1480,-246,13,17,-18,512
7290,-1349,-1489,-236,17,10,-19,512
7300,-1357,-1485,-249,17,19,-22,501
7310,-1358,-1483,-251,20,8,-18,517
7320,-1342,-1499,-235,11,16,-17,519
7330,-1368,-1482,-260,21,19,-17,524
7340,-1352,-1496,-256,15,31,-13,484
7350,-1358,-1475,-247,14,4,-14,501
7360,-1356,-1481,-239,13,21,-17,518
7370,-1332,-1487,-266,16,24,-18,519
7380,-1357,-1485,-248,16,21,-12,504
7390,-1365,-1478,-242,14,28,-23,519
7400,-1360,-1490,-238,11,20,-19,500
7410,-1352,-1475,-245,10,16,-16,513
7420,-1355,-1484,-260,11,22,-18,506
7430,-1364,-1490,-261,13,24,-20,505
7440,-1358,-1488,-267,18,14,-17,514
7450,-1354,-1485,-237,16,20,-23,505
7460,-1347,-1487,-229,16,21,-17,510
7470,-1348,-1464,-239,14,17,-20,507
7480,-1356,-1478,-265,13,15,-17,510
7490,-1347,-1477,-233,12,17,-16,510
7500,-1364,-1482,-253,14,24,-22,509
7510,-1355,-1488,-255,16,24,-18,503
7520,-1349,-1474,-255,13,23,-22,505
7530,-1360,-1487,-254,12,29,-19,512
7540,-1345,-1488,-237,15,23,-21,507
7550,-1346,-1488,-232,12,16,-20,502
7560,-1344,-1492,-260,16,24,-22,509
7570,-1351,-1493,-231,13,17,-16,510
7580,-1363,-1493,-245,13,17,-19,507
7593,-1346,-1489,-259,22,10,-20,510
7600,-1338,-1483,-254,14,27,-14,512
7610,-1355,-1492,-235,9,17,-20,509
7620,-1330,-1488,-261,11,19,-20,511
7630,-1350,-1480,-256,12,23,-21,510
7640,-1359,-1485,-259,14,26,-22,515
7650,-1354,-1493,-254,9,18,-11,512
7660,-1360,-1483,-245,10,22,-17,513
7670,-1366,-1489,-255,13,10,-13,506
7680,-1352,-1485,-241,13,22,-12,512
7690,-1349,-1484,-233,17,14,-22,508
7700,-1364,-1502,-256,16,14,-15,510
7710,-1352,-1483,-252,16,17,-19,512
7720,-1354,-1476,-238,15,18,-17,514
7730,-1355,-1492,-253,11,15,-16,509
