# rocket_logger v3.3 rate=100Hz accel=16G(2048/G) gyro=2000dps(16.4/dps) sound=A1
t_ms,ax,ay,az,gx,gy,gz,snd
4574,-1350,-1476,-250,20,22,-22,507
4591,-1361,-1489,-246,13,15,-22,510
4597,-1348,-1483,-252,11,20,-17,511
4600,-1364,-1487,-249,20,22,-14,513
4602,-1361,-1491,-249,11,21,-29,509
4605,-1347,-1479,-228,12,17,-18,511
4608,-1353,-1484,-251,17,21,-17,507
4610,-1328,-1491,-270,18,20,-18,510
4613,-1360,-1482,-247,11,17,-21,510
4615,-1348,-1475,-249,10,24,-17,509
4617,-1352,-1478,-249,16,24,-24,509
4623,-1344,-1484,-239,8,14,-16,506
4626,-1350,-1487,-246,17,22,-17,506
4628,-1348,-1481,-245,14,20,-21,504
4630,-1359,-1489,-248,8,18,-18,509
4633,-1358,-1482,-252,15,21,-23,508
4635,-1352,-1480,-239,10,14,-19,504
4638,-1347,-1494,-249,15,27,-15,509
4640,-1362,-1490,-241,15,9,-20,514
4642,-1342,-1474,-251,15,24,-18,514
4645,-1354,-1483,-243,13,21,-17,505
4647,-1347,-1490,-234,11,29,-19,510
4649,-1351,-1497,-226,15,12,-16,510
4653,-1348,-1485,-249,14,24,-20,508
4655,-1355,-1502,-252,12,28,-14,505
4661,-1341,-1496,-238,14,17,-25,514
4664,-1370,-1485,-239,6,27,-21,504
4666,-1354,-1477,-250,18,19,-27,510
4668,-1341,-1495,-249,12,19,-17,507
4671,-1350,-1489,-252,12,21,-21,509
4673,-1351,-1471,-255,13,13,-19,507
4675,-1333,-1478,-254,15,17,-13,510
4678,-1356,-1487,-249,10,19,-18,516
4680,-1351,-1476,-252,16,3,-16,512
4683,-1353,-1488,-245,14,19,-17,509
4685,-1358,-1483,-257,11,22,-18,512
4687,-1356,-1485,-257,15,16,-19,506
4690,-1360,-1486,-244,6,15,-22,511
4692,-1353,-1480,-236,20,20,-20,515
4699,-1359,-1473,-250,15,16,-18,517
4701,-1363,-1487,-248,14,15,-19,516
4704,-1361,-1477,-245,13,21,-16,507
4706,-1330,-1486,-249,10,17,-22,511
4708,-1356,-1481,-252,8,10,-19,506
4711,-1365,-1483,-239,14,20,-18,502
4713,-1362,-1479,-247,13,17,-18,509
4716,-1355,-1485,-240,11,19,-17,509
4718,-1356,-1483,-235,12,21,-21,510
4720,-1336,-1477,-230,17,18,-19,514
4723,-1362,-1493,-254,13,14,-12,513
4725,-1347,-1495,-243,17,21,-18,517
4728,-1348,-1485,-263,8,17,-18,513
4730,-1367,-1491,-229,14,14,-20,503
4737,-1358,-1488,-248,5,21,-27,505
4739,-1355,-1483,-253,15,13,-19,499
4742,-1347,-1485,-252,12,18,-18,505
4744,-1354,-1487,-249,17,19,-13,511
4746,-1355,-1490,-263,11,11,-25,512
4749,-1346,-1489,-235,17,24,-13,510
4751,-1362,-1485,-253,12,21,-23,510
4753,-1339,-1493,-250,11,17,-15,509
4756,-1350,-1504,-257,15,21,-18,506
4758,-1358,-1492,-233,10,25,-22,513
4761,-1356,-1481,-250,10,21,-16,504
4763,-1353,-1491,-241,14,16,-21,514
4765,-1350,-1482,-261,12,21,-20,511
4768,-1359,-1481,-261,15,15,-21,514
4774,-1344,-1477,-235,16,21,-27,502
4776,-1351,-1494,-257,14,20,-21,504
4780,-1339,-1474,-263,13,21,-24,507
4782,-1349,-1481,-270,15,20,-17,504
4784,-1362,-1494,-243,8,24,-19,507
4787,-1339,-1476,-252,13,9,-22,504
4789,-1338,-1485,-255,15,16,-20,510
4791,-1357,-1484,-268,12,18,-24,512
4794,-1354,-1478,-254,12,14,-17,510
4796,-1359,-1477,-250,17,19,-17,510
4798,-1337,-1480,-235,12,14,-18,510
4801,-1345,-1486,-264,15,16,-25,505
4803,-1347,-1490,-258,9,23,-15,508
4806,-1344,-1478,-268,19,10,-25,512
4812,-1358,-1488,-245,12,22,-19,515
4814,-1357,-1486,-233,13,16,-14,513
4816,-1360,-1484,-254,8,19,-21,505
4819,-1342,-1488,-224,11,14,-21,510
4822,-1345,-1483,-269,13,23,-19,502
4824,-1353,-1493,-261,13,14,-17,508
4827,-1355,-1486,-240,13,17,-19,509
4829,-1356,-1495,-250,15,18,-20,512
4832,-1335,-1484,-253,17,11,-18,508
4834,-1357,-1484,-249,13,28,-19,507
4836,-1347,-1490,-238,15,22,-23,513
4839,-1348,-1486,-254,11,22,-22,512
4841,-1362,-1488,-245,17,20,-14,506
4844,-1349,-1485,-236,13,21,-21,510
4850,-1359,-1482,-238,15,20,-21,510
4852,-1353,-1486,-243,16,23,-21,507
4854,-1359,-1484,-243,15,23,-13,507
4857,-1352,-1486,-265,11,26,-13,509
4859,-1373,-1493,-256,15,21,-22,515
4861,-1344,-1486,-238,12,20,-21,509
4865,-1351,-1482,-242,16,7,-16,513
4867,-1345,-1492,-256,16,19,-16,516
4870,-1338,-1481,-222,9,16,-18,519
4872,-1349,-1483,-238,16,9,-19,514
4874,-1359,-1485,-247,13,22,-17,514
4877,-1352,-1482,-244,11,21,-16,511
4879,-1344,-1466,-244,15,17,-15,510
4881,-1353,-1482,-243,13,22,-19,513
4887,-1349,-1495,-258,18,20,-16,509
4890,-1342,-1491,-249,14,23,-18,509
4892,-1347,-1483,-248,14,15,-17,514
4894,-1363,-1483,-247,13,27,-18,509
4897,-1357,-1486,-257,15,22,-20,513
4899,-1348,-1478,-262,8,19,-23,516
4902,-1340,-1484,-234,11,24,-21,510
4904,-1341,-1481,-259,18,16,-11,507
4907,-1359,-1485,-258,14,12,-23,512
4910,-1359,-1479,-236,9,23,-19,509
4912,-1362,-1482,-267,22,23,-23,514
4914,-1350,-1473,-257,10,18,-18,508
4917,-1343,-1494,-253,13,16,-21,506
4919,-1354,-1482,-255,16,19,-18,509
4925,-1372,-1483,-258,15,24,-17,509
4928,-1357,-1482,-253,14,19,-18,513
4930,-1351,-1481,-254,15,18,-24,512
4932,-1352,-1488,-264,11,9,-14,510
4935,-1346,-1488,-250,12,20,-24,510
4937,-1347,-1472,-257,17,22,-21,510
4939,-1348,-1485,-261,17,16,-20,508
4942,-1363,-1497,-263,8,27,-22,508
4944,-1356,-1478,-254,16,21,-13,505
4947,-1350,-1485,-240,11,18,-23,505
4950,-1346,-1489,-240,16,17,-20,513
4952,-1357,-1484,-271,12,13,-21,513
4955,-1353,-1489,-258,15,21,-19,510
4961,-1365,-1485,-239,16,8,-17,515
4963,-1360,-1480,-252,14,13,-14,511
4965,-1349,-1488,-256,12,11,-16,513
4968,-1341,-1488,-250,13,21,-18,510
4970,-1351,-1490,-260,14,24,-17,508
4973,-1357,-1483,-241,12,17,-16,512
4975,-1347,-1493,-249,9,26,-19,508
4977,-1354,-1488,-248,13,21,-19,511
4980,-1337,-1468,-244,11,27,-21,513
4982,-1345,-1493,-247,14,21,-11,508
4984,-1353,-1487,-240,18,4,-21,514
4987,-1338,-1500,-252,12,23,-14,509
4989,-1350,-1491,-250,10,9,-23,513
4993,-1369,-1490,-251,9,18,-19,509
4999,-1352,-1487,-243,8,25,-19,514
5001,-1332,-1484,-254,12,27,-27,513
5003,-1342,-1479,-259,16,11,-22,510
5006,-1347,-1478,-268,13,27,-14,508
5008,-1367,-1484,-239,16,16,-24,514
5010,-1353,-1476,-250,15,15,-15,510
5013,-1355,-1463,-231,13,18,-16,515
5015,-1347,-1479,-260,13,17,-19,516
5018,-1343,-1476,-242,14,20,-13,514
5020,-1346,-1492,-250,18,29,-19,513
5022,-1354,-1490,-247,12,16,-19,512
5025,-1364,-1486,-255,14,30,-20,511
5027,-1344,-1485,-231,14,13,-24,511
5030,-1351,-1490,-250,13,27,-18,507
5037,-1355,-1477,-254,7,20,-18,517
5039,-1346,-1483,-259,22,24,-18,513
5041,-1355,-1485,-267,11,25,-20,511
5044,-1366,-1489,-264,12,25,-24,508
5046,-1353,-1475,-258,16,23,-15,508
5048,-1364,-1492,-252,12,21,-22,510
5051,-1340,-1489,-255,13,27,-16,511
5053,-1360,-1491,-259,18,27,-11,506
5056,-1363,-1494,-269,10,18,-18,513
5058,-1353,-1478,-241,12,23,-16,510
5060,-1358,-1489,-240,13,15,-11,512
5063,-1342,-1486,-236,11,20,-23,510
5065,-1356,-1491,-249,12,16,-15,513
5067,-1348,-1502,-247,17,25,-15,507
5073,-1350,-1488,-245,12,7,-13,507
5076,-1356,-1491,-256,20,15,-19,508
