# rocket_logger v3.5 rate=100Hz accel=16G(2048/G) gyro=2000dps(16.4/dps) sound=A1 boot=2
t_ms,ax,ay,az,gx,gy,gz,snd_min,snd_max
6560,-1440,1141,-728,16,22,-21,500,518
6571,-1432,1152,-726,11,12,-24,500,519
6580,-1432,1143,-729,14,12,-20,504,515
6590,-1440,1145,-737,14,31,-24,503,515
6600,-1425,1147,-733,19,22,-17,505,514
6610,-1455,1137,-743,16,27,-17,500,517
6620,-1451,1143,-721,11,17,-15,499,519
6630,-1448,1152,-733,16,24,-18,497,524
6640,-1439,1145,-749,18,22,-21,498,523
6670,-1443,1156,-758,20,24,-24,509,509
6676,-1442,1145,-734,19,25,-19,506,506
6679,-1460,1154,-750,9,10,-18,514,514
6681,-1451,1145,-762,21,32,-20,509,509
6690,-1440,1159,-749,12,14,-19,485,525
6700,-1451,1151,-730,12,23,-18,477,534
6710,-1443,1159,-735,18,15,-21,471,535
6720,-1446,1141,-726,10,29,-18,471,540
6730,-1466,1138,-745,15,12,-15,468,544
6740,-1448,1146,-728,8,27,-24,464,549
6750,-1458,1148,-751,14,11,-24,464,545
6760,-1448,1145,-749,14,19,-22,467,545
6770,-1442,1153,-747,11,16,-19,466,548
6780,-1444,1158,-747,17,11,-16,470,547
6790,-1450,1142,-740,7,22,-23,460,552
6800,-1428,1145,-740,13,21,-13,468,555
6810,-1443,1156,-757,13,13,-22,465,552
6820,-1428,1153,-729,14,12,-22,466,559
6830,-1436,1147,-729,14,15,-21,462,548
6840,-1450,1156,-725,8,4,-18,464,553
6850,-1432,1154,-734,17,20,-20,464,556
6860,-1443,1130,-726,16,16,-14,466,557
6870,-1445,1139,-746,19,26,-16,463,553
6880,-1451,1148,-749,13,27,-22,465,555
6890,-1451,1142,-748,14,18,-17,461,546
6900,-1446,1139,-738,14,11,-17,461,556
6910,-1451,1157,-741,14,23,-18,458,544
6920,-1439,1152,-742,14,17,-17,459,549
