# rocket_logger v3.5 rate=100Hz accel=16G(2048/G) gyro=2000dps(16.4/dps) sound=A1 boot=2
t_ms,ax,ay,az,gx,gy,gz,snd_min,snd_max
4631,-1453,1163,-735,10,29,-20,507,507
4648,-1439,1159,-739,10,28,-25,509,509
4656,-1442,1126,-739,14,19,-20,509,509
4660,-1427,1149,-737,18,25,-17,506,516
4670,-1438,1133,-750,19,25,-21,503,516
4680,-1413,1153,-808,9,34,-22,505,515
4690,-1432,1146,-717,4,18,-15,506,515
4700,-1443,1177,-683,7,16,-22,504,517
4710,-1468,1146,-750,18,18,-25,502,515
4720,-1453,1129,-756,16,23,-17,506,517
4730,-1420,1166,-739,15,20,-18,505,520
4740,-1448,1147,-740,15,23,-17,503,516
4750,-1464,1148,-731,12,11,-18,504,515
4760,-1444,1141,-723,21,31,-22,503,517
4770,-1437,1152,-743,14,19,-19,502,515
4780,-1450,1148,-739,14,24,-19,504,514
4790,-1435,1150,-746,10,13,-16,503,515
4800,-1465,1163,-712,14,21,-19,502,518
4810,-1448,1144,-725,20,22,-17,502,518
4820,-1437,1147,-743,10,16,-20,504,518
4830,-1458,1153,-752,14,14,-16,505,516
4840,-1445,1143,-739,13,20,-16,504,516
4850,-1454,1164,-724,14,8,-25,506,515
4860,-1447,1146,-752,14,22,-13,502,523
4870,-1436,1158,-726,16,16,-24,501,515
4880,-1453,1147,-722,17,21,-19,504,516
4890,-1447,1138,-728,15,24,-18,503,516
4900,-1442,1156,-731,10,19,-19,504,515
4910,-1435,1142,-734,12,16,-27,503,515
4920,-1428,1154,-731,14,17,-22,506,516
4930,-1432,1154,-743,13,26,-18,503,512
4940,-1446,1152,-739,19,15,-22,505,516
4950,-1467,1157,-758,16,17,-24,505,518
4960,-1441,1146,-735,15,28,-18,503,515
4970,-1447,1148,-720,16,29,-18,501,516
4980,-1445,1152,-742,15,16,-17,505,515
4990,-1440,1146,-747,13,18,-21,506,516
5000,-1440,1158,-737,11,20,-19,506,516
5010,-1457,1147,-745,12,22,-15,503,514
5020,-1444,1144,-764,10,14,-23,504,520
5030,-1447,1156,-716,9,22,-15,503,519
5040,-1445,1158,-735,16,15,-18,498,515
5050,-1442,1156,-737,10,20,-21,495,517
5060,-1454,1144,-740,12,12,-27,497,519
5070,-1462,1149,-742,22,17,-20,501,517
5080,-1440,1151,-734,13,12,-14,498,520
5090,-1435,1153,-738,12,29,-18,497,516
5100,-1440,1156,-736,9,23,-19,499,517
5110,-1440,1152,-742,19,21,-17,502,517
5120,-1440,1144,-730,14,11,-21,508,520
5130,-1462,1153,-734,15,21,-22,502,518
5140,-1432,1146,-710,15,16,-17,505,518
5153,-1453,1137,-730,16,29,-20,507,507
5160,-1444,1146,-734,24,22,-21,502,502
5170,-1462,1143,-740,18,27,-14,498,517
5180,-1438,1140,-741,14,22,-16,501,517
5190,-1440,1147,-748,16,8,-16,500,517
5200,-1437,1156,-726,19,12,-17,504,517
5210,-1445,1153,-724,13,14,-21,505,516
5220,-1464,1143,-733,14,25,-21,505,515
5230,-1433,1156,-739,15,28,-20,504,517
5240,-1442,1141,-732,12,27,-18,504,519
5250,-1461,1145,-748,14,20,-15,504,513
5260,-1447,1146,-758,13,21,-14,507,517
5270,-1442,1153,-744,19,21,-22,504,514
5280,-1446,1150,-746,18,16,-17,507,515
5291,-1444,1154,-726,12,12,-22,506,516
5300,-1442,1144,-725,15,22,-20,496,516
5310,-1444,1137,-739,18,21,-25,498,520
5320,-1431,1141,-728,14,22,-16,493,523
