# rocket_logger v3.6 wait=10Hz fly=100Hz accel=16G(2048/G) gyro=2000dps(16.4/dps) sound=A1 boot=6
t_ms,ax,ay,az,gx,gy,gz,snd_min,snd_max
4946,-1348,-156,1490,10,16,-88,508,508
5044,-1346,-51,1507,2,11,-80,496,525
5144,-1023,54,1261,-68,116,-88,352,648
5244,-1205,-23,1565,-29,39,-71,483,533
5344,-2024,394,1447,71,235,-69,242,756
5444,-1828,-379,2175,121,-27,-28,25,761
5544,-1166,-183,1471,36,14,-64,25,761
5644,-1241,-172,1431,0,-34,-28,480,544
5744,-1499,-8,1332,10,-19,13,491,524
5844,-1349,76,1482,10,33,-5,495,526
5944,-1296,-124,1422,4,15,-44,465,578
6044,-1276,-21,1557,3,3,-31,496,530
6144,-1823,425,1639,24,-47,21,197,761
6244,-1819,-11,1935,10,37,-37,24,761
6344,-1371,262,1754,9,23,-24,24,761
6444,-1317,58,1681,-3,20,-21,488,534
6544,-1260,46,1645,7,-72,-21,494,527
6644,-1320,3,1493,8,-69,-26,493,526
6744,-1287,-65,1508,13,-26,11,495,528
6844,-2452,-218,2447,41,-70,25,273,750
6944,-1705,365,1175,17,-1,-22,90,761
6955,-2001,163,2045,13,-145,27,187,761
6964,-745,557,1887,-18,-166,12,151,761
6974,547,340,2300,75,-72,-37,65,761
6984,-520,118,2026,-10,19,-16,330,761
6994,-308,484,3011,81,147,-53,289,761
7004,-3486,-993,968,-62,147,-8,24,761
7014,-1702,330,2175,4,-165,67,178,730
7024,-1556,-631,1679,102,80,-12,409,637
7034,-822,431,1981,-86,85,-47,442,599
7044,-808,-212,1062,55,61,-54,462,546
7057,-1521,-143,1349,-25,1,-47,515,515
7064,-1017,-108,1483,40,15,-37,519,519
7074,-1463,-18,1449,-4,11,-6,486,529
7084,-1124,-71,1471,28,-19,11,495,522
7094,-1245,30,1471,6,-17,14,490,523
7104,-1202,-38,1455,19,-12,-13,504,520
7114,-1219,148,1591,5,-25,-16,500,520
7124,-1352,-41,1519,24,-5,-35,493,528
7134,-1196,24,1593,-3,-2,-25,499,521
7144,-1371,-9,1626,20,11,-31,499,523
7154,-1172,54,1645,2,42,-40,496,521
7164,-1324,-8,1580,33,42,-44,499,523
7174,-1364,-10,1505,-3,38,-38,497,520
7184,-1196,111,1598,24,41,-38,500,521
7194,-1364,-137,1495,22,36,-26,499,518
7204,-1271,89,1577,0,33,-17,495,524
